x,World,Asia,Africa,Europe,North America,South America,Oceania
-3849.6,47800428,21353718,22059987,13118462,0,0,0
-3831.3,47965200,21439545,22147922,13179706,0,0,0
-3812.9,48129972,21525372,22235858,13240950,0,0,0
-3794.5,48294745,21611199,22323793,13302194,0,0,0
-3776.1,48459517,21697026,22411728,13363438,0,0,0
-3757.7,48624289,21782852,22499663,13424682,0,0,0
-3739.3,48789061,21868679,22587598,13485926,0,0,0
-3721.0,48953834,21954506,22675533,13547170,0,0,0
-3702.6,49118606,22040333,22763468,13608414,0,0,0
-3684.2,49283378,22126160,22851403,13669658,0,0,0
-3665.8,49448150,22211987,22939338,13730902,0,0,0
-3647.4,49612923,22297813,23027274,13792146,0,0,0
-3629.0,49777695,22383640,23115209,13853390,0,0,0
-3610.7,49942467,22469467,23203144,13914634,0,0,0
-3592.3,50107239,22555294,23291079,13975878,0,0,0
-3573.9,50272012,22641121,23379014,14037122,0,0,0
-3555.5,50436784,22726948,23466949,14098366,0,0,0
-3537.1,50601556,22812774,23554884,14159610,0,0,0
-3518.7,50766328,22898601,23642819,14220854,0,0,0
-3500.4,50931100,22984428,23730754,14282098,0,0,0
-3482.0,51095873,23070255,23818690,14343342,0,0,0
-3463.6,51260645,23156082,23906625,14404586,0,0,0
-3445.2,51425417,23241909,23994560,14465830,0,0,0
-3426.8,51590189,23327736,24082495,14527074,0,0,0
-3408.4,51754962,23413562,24170430,14588318,0,0,0
-3390.1,51919734,23499389,24258365,14649562,0,0,0
-3371.7,52084506,23585216,24346300,14710806,0,0,0
-3353.3,52249278,23671043,24434235,14772050,0,0,0
-3334.9,52414051,23756870,24522170,14833294,0,0,0
-3316.5,52578823,23842697,24610106,14894538,0,0,0
-3298.1,52743595,23928523,24698041,14955782,0,0,0
-3279.8,52908367,24014350,24785976,15017026,0,0,0
-3261.4,53073140,24100177,24873911,15078270,0,0,0
-3243.0,53237912,24186004,24961846,15139514,0,0,0
-3224.6,53402684,24271831,25049781,15200758,0,0,0
-3206.2,53567456,24357658,25137716,15262002,0,0,0
-3187.8,53732229,24443484,25225651,15323246,0,0,0
-3169.5,53897001,24529311,25313586,15384490,0,0,0
-3151.1,54061773,24615138,25401521,15445734,0,0,0
-3132.7,54226545,24700965,25489457,15506978,0,0,0
-3114.3,54391318,24786792,25577392,15568222,0,0,0
-3095.9,54556090,24872619,25665327,15629466,0,0,0
-3077.5,54720862,24958446,25753262,15690710,0,0,0
-3059.2,54885634,25044272,25841197,15751954,0,0,0
-3040.8,55050407,25130099,25929132,15813198,0,0,0
-3022.4,55215179,25215926,26017067,15874442,0,0,0
-3004.0,55379951,25301753,26105002,15935686,0,0,0
-2985.6,55544723,25387580,26192937,15996930,0,0,0
-2967.2,55709496,25473407,26280873,16058174,0,0,0
-2948.9,55874268,25559233,26368808,16119418,0,0,0
-2930.5,56039040,25645060,26456743,16180662,0,0,0
-2912.1,56203812,25730887,26544678,16241906,0,0,0
-2893.7,56368585,25816714,26632613,16303150,0,0,0
-2875.3,56533357,25902541,26720548,16364394,0,0,0
-2856.9,56698129,25988368,26808483,16425638,0,0,0
-2838.6,56862901,26074194,26896418,16486882,0,0,0
-2820.2,57027673,26160021,26984353,16548126,0,0,0
-2801.8,57192446,26245848,27072289,16609370,0,0,0
-2783.4,57357218,26331675,27160224,16670614,0,0,43777
-2765.0,57521990,26417502,27248159,16731857,0,0,98498
-2746.6,57686762,26503329,27336094,16793101,0,0,153219
-2728.3,57851535,26589155,27424029,16854345,0,0,207940
-2709.9,58016307,26674982,27511964,16915589,0,0,262661
-2691.5,58181079,26760809,27599899,16976833,0,0,317382
-2673.1,58345851,26846636,27687834,17038077,0,0,372103
-2654.7,58510624,26932463,27775769,17099321,0,0,426823
-2636.3,58675396,27018290,27863704,17160565,0,0,481544
-2618.0,58840168,27104117,27951640,17221809,0,0,536265
-2599.6,59004940,27189943,28039575,17283053,0,0,590986
-2581.2,59169713,27275770,28127510,17344297,0,0,645707
-2562.8,59334485,27361597,28215445,17405541,0,0,700428
-2544.4,59499257,27447424,28303380,17466785,0,0,755149
-2526.0,59664029,27533251,28391315,17528029,0,0,809870
-2507.7,59828802,27619078,28479250,17589273,0,0,864591
-2489.3,59993574,27704904,28567185,17650517,0,0,919312
-2470.9,60158346,27790731,28655120,17711761,0,0,974033
-2452.5,60323118,27876558,28743056,17773005,0,0,1028754
-2434.1,60487891,27962385,28830991,17834249,0,0,1083475
-2415.7,60652663,28048212,28918926,17895493,0,0,1138196
-2397.4,60817435,28134039,29006861,17956737,0,0,1192917
-2379.0,60982207,28219865,29094796,18017981,0,0,1247638
-2360.6,61146980,28305692,29182731,18079225,0,0,1302359
-2342.2,61311752,28391519,29270666,18140469,0,0,1357080
-2323.8,61476524,28477346,29358601,18201713,0,0,1411801
-2305.4,61641296,28563173,29446536,18262957,0,0,1466522
-2287.1,61806069,28649000,29534472,18324201,0,0,1521243
-2268.7,61970841,28734827,29622407,18385445,0,0,1575964
-2250.3,62135613,28820653,29710342,18446689,0,0,1630685
-2231.9,62300385,28906480,29798277,18507933,0,0,1685406
-2213.5,62465158,28992307,29886212,18569177,0,0,1740127
-2195.1,62629930,29078134,29974147,18630421,0,0,1794847
-2176.8,62794702,29163961,30062082,18691665,0,0,1849568
-2158.4,62959474,29249788,30150017,18752909,0,0,1904289
-2140.0,63124247,29335614,30237952,18814153,0,0,1959010
-2121.6,63289019,29421441,30325888,18875397,0,0,2013731
-2103.2,63453791,29507268,30413823,18936641,0,0,2068452
-2084.9,63618563,29593095,30501758,18997885,0,0,2123173
-2066.5,63783335,29593095,30589693,19059129,0,0,2177894
-2048.1,63948108,29593095,30677628,19120373,0,0,2232615
-2029.7,64112880,29593095,30765563,19181617,0,0,2287336
-2011.3,64277652,29593095,30853498,19242861,0,0,2342057
-1992.9,64442424,29593095,30941433,19304105,0,0,2396778
-1974.6,64607197,29593095,31029368,19365349,0,0,2451499
-1956.2,64771969,29593095,31117303,19426593,0,0,2506220
-1937.8,64936741,29593095,31205239,19487837,0,0,2560941
-1919.4,65101513,29593095,31293174,19549081,0,0,2615662
-1901.0,65266286,29593095,31381109,19610325,0,0,2670383
-1882.6,65431058,29593095,31469044,19671569,0,0,2725104
-1864.3,65595830,29593095,31556979,19732813,0,0,2779825
-1845.9,65760602,29593095,31644914,19794057,0,0,2834546
-1827.5,65925375,29593095,31732849,19855301,0,0,2889267
-1809.1,66090147,29593095,31820784,19916545,0,0,2943988
-1790.7,66254919,29593095,31908719,19977789,0,0,2998709
-1772.3,66419691,29593095,31996655,20039033,0,0,3053430
-1754.0,66584464,29593095,32084590,20100277,0,0,3108151
-1735.6,66584464,29593095,32172525,20161521,0,0,3162871
-1717.2,66584464,29593095,32260460,20222765,0,0,3217592
-1698.8,66584464,29593095,32348395,20284009,0,0,3272313
-1680.4,66584464,29593095,32436330,20345253,0,0,3327034
-1662.0,66584464,29593095,32524265,20406497,0,0,3381755
-1643.7,66584464,29593095,32612200,20467741,0,0,3436476
-1625.3,66584464,29593095,32700135,20528985,0,0,3491197
-1606.9,66584464,29593095,32788071,20590229,0,0,3545918
-1588.5,66584464,29593095,32876006,20651473,0,0,3600639
-1570.1,66584464,29593095,32963941,20712717,0,0,3655360
-1551.7,66584464,29593095,33051876,20773961,0,0,3710081
-1533.4,66584464,29593095,33139811,20835205,0,0,3764802
-1515.0,67905584,31274521,33227746,20896449,0,0,3819523
-1496.6,69226704,32955947,33315681,20957693,0,0,3874244
-1478.2,70547825,34637372,33403616,21018937,0,0,3928965
-1459.8,71868945,36318798,33491551,21080181,0,0,3983686
-1441.4,73190065,38000224,33579486,21141425,0,0,4038407
-1423.1,74511185,39681650,33667422,21202669,0,0,4093128
-1404.7,75832306,41363076,33755357,21263913,0,0,4147849
-1386.3,77153426,43044502,33843292,21325157,0,0,4202570
-1367.9,78474546,44725928,33931227,21386401,0,0,4257291
-1349.5,79795667,46407353,34019162,21447645,0,0,4312012
-1331.1,81116787,48088779,34107097,21508889,0,0,4366733
-1312.8,82437907,48088779,34195032,21570133,0,0,4421454
-1294.4,83759028,48088779,34282967,21631377,0,0,4476174
-1276.0,85080148,48088779,34370902,21692621,0,0,4530895
-1257.6,85080148,48088779,34458838,21753864,0,0,4585616
-1239.2,85080148,48088779,34546773,21815108,0,0,4640337
-1220.8,85080148,48088779,34634708,21876352,0,0,4695058
-1202.5,85080148,48088779,34722643,21937596,0,0,4749779
-1184.1,85080148,48088779,34810578,21998840,0,0,4804500
-1165.7,85080148,48088779,34898513,22060084,0,0,4859221
-1147.3,85080148,48088779,34986448,22121328,0,0,4913942
-1128.9,85080148,48088779,35074383,22182572,0,0,4968663
-1110.5,85080148,48088779,35162318,22243816,0,0,5023384
-1092.2,85080148,48088779,35250254,22305060,0,0,5078105
-1073.8,85080148,48088779,35338189,22366304,0,0,5132826
-1055.4,85080148,48088779,35426124,22427548,0,0,5187547
-1037.0,85080148,48088779,35514059,22488792,0,0,5242268
-1018.6,85080148,48088779,35601994,22550036,0,0,5296989
-1000.2,85080148,48088779,35689929,22611280,0,0,5351710
-981.9,85080148,48088779,35777864,22672524,0,0,5406431
-963.5,91245376,48088779,35865799,22733768,0,0,5461152
-945.1,97410604,52712700,35953734,22795012,0,0,5515873
-926.7,103575832,57336621,36041670,22856256,0,0,5570594
-908.3,103575832,61960543,36129605,22917500,0,0,5625315
